nID,nationality,continent,is_valid
Q153136,Habsburg monarchy,Europe,True
Q622783,Spanish Netherlands,Europe,True
Q696640,Duchy of Pomerania,Europe,True
Q208169,Republic of Ragusa,Europe,True
Q1923401,Dzungar Khanate,Eurasia,True
Q212439,Cossack Hetmanate,Europe,True
Q170603,New Spain,Central America,True
Q62651,Denmark–Norway,Europe,True
Q200464,Portuguese Empire,Africa,True
Q23366230,Republic of Geneva,Europe,True
Q389004,Wallachia,Europe,True
Q836676,Kingdom of Majorca,Europe,True
Q722071,Ashanti Empire,Africa,True
Q660776,canton of Basel,Europe,True
Q2088324,Colonial Brazil,South America,True
Q157367,Brandenburg-Prussia,Europe,True
Q236,Montenegro,Europe,True
Q1209822,Kingdom of Kakheti,Europe,True
Q153529,Duchy of Milan,Europe,True
Q700283,Austrian Netherlands,Europe,True
Q210551,Viceroyalty of the Río de la Plata,Africa,True
Q3399982,Kingdom of Spain,Europe,True
Q2396442,Kingdom of Galicia and Lodomeria,Europe,True
Q2577303,Kingdom of Sardinia,Europe,True
Q671899,Duchy of Teschen,Europe,True
Q3324486,Prince-Bishopric of Montenegro,Europe,True
Q80702,Spanish Empire,Africa,True
Q1078602,Kingdom of Nepal,Asia,True
Q2670751,Margraviate of Moravia,Europe,True
Q256961,Electorate of Bavaria,Europe,True
Q188553,Batavian Republic,Europe,True
Q693669,Grand Duchy of Oldenburg,Europe,True
Q426025,Duchy of Savoy,Europe,True
Q1063498,United States of the Ionian Islands,Europe,True
Q156418,Kingdom of Hawaiʻi,Australian continent,True
Q217230,Empire of Brazil,South America,True
Q792,El Salvador,North America,True
Q783,Honduras,North America,True
Q154195,Kingdom of Bavaria,Europe,True
Q62589,Union between Sweden and Norway,Europe,True
Q13496558,Prince-Bishopric of Brixen,Europe,True
Q3113481,Principality of Transylvania,Europe,True
Q180393,Kingdom of the Two Sicilies,Europe,True
Q209857,Kingdom of Lombardy–Venetia,Europe,True
Q811,Nicaragua,North America,True
Q241748,Kingdom of Serbia,Europe,True
Q206696,Helvetic Republic,Europe,True
Q223936,Kingdom of Italy,Europe,True
Q151624,German Confederation,Europe,True
Q836680,Duchy of Nassau,Europe,True
Q1155700,Rattanakosin Kingdom,Asia,True
Q159631,Kingdom of Württemberg,Europe,True
Q1121436,Province of Canada,North America,True
Q1134180,Lower Canada,North America,True
Q26167,Duchy of Schleswig,Europe,True
Q225,Bosnia and Herzegovina,Europe,True
Q5148518,Colony of New Zealand,Oceania,True
Q849623,Oyo Empire,Africa,True
Q854,Sri Lanka,Asia,True
Q533558,Kingdom of Croatia-Slavonia,Europe,True
Q186320,Grand Duchy of Baden,Europe,True
Q2078820,Odesa Soviet Republic,Europe,True
Q139319,Russian Republic,Europe,True
Q786,Dominican Republic,North America,True
Q152750,Protectorate of Bohemia and Moravia,Europe,True
Q12163800,Ukrainian State,Europe,True
Q881,Vietnam,Asia,True
Q124943,Kingdom of Egypt,Africa,True
Q370173,Sultanate of Egypt,Africa,True
Q3087763,Republic of Egypt,Africa,True
Q1775277,Dominion of India,Asia,True
Q986,Eritrea,Africa,True
Q842794,Socialist Republic of Romania,Europe,True
Q2685298,Romanian People's Republic,Europe,True
Q971,Republic of the Congo,Africa,True
Q38872,Prussia,Europe,True
Q1277557,Democratic Federal Yugoslavia,Europe,True
Q265824,Second Hellenic Republic,Europe,True
Q170468,United Arab Republic,Africa,True
Q691,Papua New Guinea,Insular Oceania,True
Q954,Zimbabwe,Africa,True
Q217169,Rhodesia,Africa,True
Q890120,Zimbabwe Rhodesia,Africa,True
Q193714,Mandatory Palestine,Asia,True
Q242,Belize,North America,True
Q1643555,British Honduras,North America,True
Q147909,Kingdom of Bulgaria,Europe,True
Q121932,People's Republic of Bulgaria,Europe,True
Q1000,Gabon,Africa,True
Q1014,Liberia,Africa,True
Q686,Vanuatu,Insular Oceania,True
Q504238,Loja Province,South America,True
Q13190167,Olmedo,South America,True
Q1037,Rwanda,Africa,True
Q237,Vatican City,Europe,True
Q983,Equatorial Guinea,Africa,True
Q685,Solomon Islands,Insular Oceania,True
Q962,Benin,Africa,True
Q1050,Eswatini,Africa,True
Q1027,Mauritius,Africa,True
Q907112,Transnistria,Europe,True
Q812717,Baños,South America,True
Q504252,Tungurahua Province,South America,True
Q16150196,Donetsk People's Republic,Europe,True
